Nombre,Sexo,A̱o,Cantidad
ALEJANDRO,M,2002,2011
PABLO,M,2002,1351
MANUEL,M,2002,1128
ALVARO,M,2002,1119
JAVIER,M,2002,1097
DANIEL,M,2002,1091
DAVID,M,2002,1077
ANTONIO,M,2002,1057
ADRIAN,M,2002,958
JESUS,M,2002,800
MARIA,F,2002,2412
LUCIA,F,2002,1812
MARTA,F,2002,1165
LAURA,F,2002,1136
PAULA,F,2002,1062
ANA,F,2002,1029
CARMEN,F,2002,829
ALBA,F,2002,809
ANDREA,F,2002,755
ROCIO,F,2002,692
MANUEL,M,2022,1122
HUGO,M,2022,786
ALEJANDRO,M,2022,760
MARTIN,M,2022,737
PABLO,M,2022,675
DANIEL,M,2022,587
ALVARO,M,2022,583
LEO,M,2022,570
ANTONIO,M,2022,558
MATEO,M,2022,540
MARIA,F,2022,917
LUCIA,F,2022,829
LOLA,F,2022,615
CARMEN,F,2022,592
MARTINA,F,2022,569
VALERIA,F,2022,568
JULIA,F,2022,550
SOFIA,F,2022,539
JIMENA,F,2022,493
MANUELA,F,2022,462
